trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-160.98043797353756,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.04978706836786395}",20,0,-110.51442393039449,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.002478752176666359}",35,0,-189.18935005969715,"{0: 23, 1: 1, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",25,0,-73.00767921021635,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 3.059023205018258e-07}",20,2,-133.06992860025218,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 7.582560427911907e-10}",20,0,-105.6376305909678,"{0: 10, 1: 0, 2: 8, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 6.914400106940203e-13}",20,0,-246.69850668908776,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 2.3195228302435696e-16}",20,0,-106.59301647458486,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 2.862518580549394e-20}",25,0,-79.84437081080206,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.2995814250075035e-24}",25,0,-174.2283127575637,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 2.17052201130364e-29}",25,0,-27.91759739808295,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.3336148155022618e-34}",20,0,-112.68233526582029,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 3.0144087850653754e-40}",20,0,-110.42443066256185,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 2.506567475899954e-46}",25,0,-46.647414293021285,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 7.667648073722002e-53}",20,1,-51.49561755579915,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 8.628801156620961e-60}",20,0,-168.64395366584998,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 3.572269937619219e-67}",25,0,-217.91039199480477,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 5.440559879258655e-75}",20,0,-126.15100477085176,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 3.048234950971858e-83}",25,0,-59.9348725029292,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 6.282880511239465e-92}",20,0,-66.58540766555464,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0.0}",30,8,-48.425828481632344,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0.0}",20,0,-124.2511567568128,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0.0}",20,0,-103.48985657722532,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
4,True,"{'a': 0, 'e': 0.0}",30,0,-82.33075684952489,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0.0}",25,0,-61.87804187564336,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0.0}",25,0,-237.53878531049367,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
7,True,"{'a': 0, 'e': 0.0}",25,0,-191.6460589307447,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
8,True,"{'a': 0, 'e': 0.0}",35,9,-60.047532485153596,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0.0}",20,0,-105.32501015660475,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0.0}",30,0,-126.28287596361562,"{0: 18, 1: 5, 2: 2, 3: 5, 4: 0}",0
