trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': -0.04}",20,0,-68.42836507778576,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': -0.09}",25,0,-118.4999816825683,"{0: 11, 1: 9, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': -0.14}",20,0,-64.74431855074802,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': -0.19}",25,0,-171.78306510105972,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': -0.24}",20,0,-162.0886278326214,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': -0.29}",20,0,-74.05081431918043,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': -0.33999999999999997}",30,8,-95.20229131727325,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': -0.38999999999999996}",30,0,-175.1035518033843,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': -0.43999999999999995}",20,0,-156.12743417238283,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': -0.48999999999999994}",20,15,5.134983515815485,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': -0.5399999999999999}",30,22,-27.72586742585881,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': -0.59}",30,0,-184.01872119589584,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': -0.64}",20,0,-192.15834805217426,"{0: 7, 1: 4, 2: 4, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': -0.6900000000000001}",20,0,-140.19357464428992,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': -0.7400000000000001}",20,0,-110.94198572453452,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': -0.7900000000000001}",25,0,-67.35290062602141,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': -0.8400000000000002}",20,0,-19.963614348859863,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': -0.8900000000000002}",20,0,-92.86315487061098,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': -0.9400000000000003}",20,0,-182.68339145080566,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': -0.9900000000000003}",30,0,-126.71418870546117,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': -0.05}",25,0,-111.56822917086754,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': -0.05}",30,0,-112.53355506659723,"{0: 20, 1: 1, 2: 5, 3: 4, 4: 0}",0
3,True,"{'a': 0, 'e': -0.05}",20,9,-34.0215555425147,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': -0.05}",20,7,-42.39389366571719,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': -0.05}",30,13,-145.7207948890558,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 3}",1
6,True,"{'a': 0, 'e': -0.05}",30,0,-137.50282723962366,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': -0.05}",25,0,-140.06975905862873,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
8,True,"{'a': 0, 'e': -0.05}",20,0,-83.17159755537823,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
9,True,"{'a': 0, 'e': -0.05}",25,0,-140.30147169160117,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': -0.05}",30,0,-102.26572259840154,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
