trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 399.99999999999994}",20,0,-99.79745973108878,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.99, 'e': 99.99999999999999}",20,0,-55.56227323167861,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
3,False,"{'a': 0.99, 'e': 44.444444444444436}",20,0,-99.86150527082742,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.99, 'e': 24.999999999999996}",25,0,-109.22024309966822,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.99, 'e': 16.0}",20,0,-57.51987112277075,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
6,False,"{'a': 0.99, 'e': 11.111111111111109}",25,0,-313.0753523046608,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 6}",0
7,False,"{'a': 0.99, 'e': 8.163265306122447}",20,0,-111.91855031493604,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.99, 'e': 6.249999999999999}",20,0,-113.32160468990674,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.99, 'e': 4.938271604938271}",30,0,-71.6287433233659,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.99, 'e': 4.0}",20,0,-75.5409822102454,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.99, 'e': 3.305785123966942}",25,10,-56.938287680053165,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.99, 'e': 2.7777777777777772}",25,0,-143.54270545851864,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.99, 'e': 2.3668639053254434}",30,0,-107.53546340139427,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.99, 'e': 2.040816326530612}",25,0,-121.62966592036548,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.99, 'e': 1.7777777777777777}",25,0,-156.14356816693115,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.99, 'e': 1.5624999999999998}",20,0,-80.39009735484561,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
