trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-59.379003805038295,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.04978706836786395}",20,0,-167.03283160496318,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.002478752176666359}",25,0,-124.7441265032197,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",30,11,-159.61305198632053,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 2}",1
5,False,"{'a': 0.5, 'e': 3.059023205018258e-07}",20,0,-117.85032971912213,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 7.582560427911907e-10}",30,0,-162.5651877478428,"{0: 18, 1: 2, 2: 5, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 6.914400106940203e-13}",20,0,-45.0565736151103,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 2.3195228302435696e-16}",20,0,-52.05020914397314,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 2.862518580549394e-20}",35,0,-252.00395626424176,"{0: 17, 1: 2, 2: 12, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.2995814250075035e-24}",25,0,-158.9244295135983,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 2.17052201130364e-29}",35,0,-247.07753147520452,"{0: 18, 1: 3, 2: 9, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.3336148155022618e-34}",20,0,-24.515846963161827,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 3.0144087850653754e-40}",20,0,-108.63041245989726,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 2.506567475899954e-46}",25,0,-98.0466889397028,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 7.667648073722002e-53}",30,0,-185.54119785953273,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 8.628801156620961e-60}",35,0,-153.66619916276144,"{0: 20, 1: 4, 2: 9, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 3.572269937619219e-67}",30,0,-192.1569648107375,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 5.440559879258655e-75}",25,0,-149.00873144846352,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 3.048234950971858e-83}",20,0,-109.0488213324768,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 6.282880511239465e-92}",20,0,-116.92636896231114,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0.0}",35,0,-239.5033976280172,"{0: 17, 1: 5, 2: 9, 3: 1, 4: 3}",0
2,True,"{'a': 0, 'e': 0.0}",25,0,-83.10654649612475,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0.0}",25,0,-125.45678229474913,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0.0}",30,0,-120.32252455309275,"{0: 17, 1: 5, 2: 5, 3: 3, 4: 0}",0
5,True,"{'a': 0, 'e': 0.0}",20,6,-69.5229496439413,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0.0}",25,0,-127.63848181780561,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",1
7,True,"{'a': 0, 'e': 0.0}",20,0,-119.36259292088809,"{0: 10, 1: 0, 2: 7, 3: 3, 4: 0}",0
8,True,"{'a': 0, 'e': 0.0}",30,0,-127.62948853924996,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0.0}",35,0,-120.14296200181317,"{0: 24, 1: 4, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0.0}",35,0,-245.59281919076096,"{0: 19, 1: 3, 2: 5, 3: 6, 4: 2}",0
